"Ratio of education and health expenditure to military expenditure"
"24","France","..","..","6.1","..","6.5","..","7.0","..","7.2","..","7.3","..","7.4","..","7.5","..","..",".."
"110","Gabon","..","..","3.7","..","..","..","3.0","..","3.8","..","3.4","..","3.7","..","4.5","..","..",".."
"174","Gambia","..","..","12.0","..","12.6","..","..","..","..","..","8.3","..","7.7","..","..","..","..",".."
"70","Georgia","..","..","15.6","..","3.2","..","..","..","3.4","..","3.3","..","..","..","..","..","..",".."
"5","Germany","..","..","..","..","..","..","11.8","..","12.1","..","12.0","..","13.0","..","13.5","..","..",".."
"140","Ghana","..","..","..","..","23.0","..","31.7","..","24.0","..","16.6","..","22.2","..","17.2","..","..",".."
"31","Greece","..","..","3.0","..","4.6","..","..","..","..","..","..","..","..","..","..","..","..",".."
"127","Guatemala","..","..","..","..","..","..","22.4","..","21.9","..","20.7","..","19.5","..","21.9","..","21.9",".."
"175","Guinea","..","..","4.9","..","..","..","..","..","..","..","2.9","..","3.1","..","3.0","..","..",".."
"177","Guinea-Bissau","..","..","..","..","..","..","4.0","..","4.6","..","2.7","..","3.3","..","..","..","..",".."
"125","Guyana","..","..","7.3","..","6.0","..","6.1","..","6.8","..","6.8","..","..","..","..","..","..",".."
"133","Honduras","..","..","..","..","..","..","..","..","..","..","..","..","9.1","..","..","..","..",".."
"45","Hungary","..","..","7.7","..","9.5","..","11.9","..","11.6","..","..","..","12.1","..","13.6","..","..",".."
"130","India","..","..","2.8","..","2.5","..","2.4","..","2.7","..","2.8","..","3.1","..","..","..","..",".."
"116","Indonesia","..","..","..","..","7.3","..","10.1","..","10.0","..","9.5","..","7.3","..","8.7","..","7.8",".."
"60","Iran (Islamic Republic of)","..","..","4.0","..","3.3","..","4.2","..","4.3","..","3.6","..","4.2","..","4.4","..","3.9",".."
"4","Ireland","..","..","14.4","..","22.5","..","28.9","..","29.0","..","30.8","..","31.5","..","32.0","..","..",".."
"22","Israel","..","..","1.8","..","1.7","..","2.0","..","2.0","..","2.1","..","2.2","..","2.2","..","..",".."
"28","Italy","..","..","6.1","..","7.0","..","7.8","..","7.7","..","..","..","8.2","..","8.9","..","..",".."
"97","Jamaica","..","..","22.4","..","16.6","..","13.4","..","12.7","..","12.2","..","13.4","..","13.2","..","13.0",".."
"19","Japan","..","..","11.5","..","12.0","..","13.3","..","14.4","..","15.0","..","15.2","..","14.9","..","..",".."
"58","Kazakhstan","..","..","9.5","..","6.1","..","..","..","..","..","..","..","..","..","..","..","6.0",".."
"142","Kenya","..","..","8.0","..","7.3","..","7.7","..","7.1","..","6.7","..","7.1","..","8.1","..","8.0",".."
"22","Korea (Republic of)","..","..","..","..","3.6","..","..","..","..","..","4.3","..","4.5","..","4.6","..","4.7",".."
